,skill,cluster
7507,liaise with celebrities,19
7508,understand spoken Japanese,18
7509,record multi-track sound,8
7510,inspect heavy underground mining machinery,2
7511,ecosystems,10
7512,replace large components,6
7513,install cooktops,9
7514,prepare animal materials for brush bristles,11
7515,administer radiation treatment,20
7516,dip tank parts,9
7517,Haskell,2
7518,install coffered ceiling,16
7519,monitor developments in field of expertise,3
7520,use colour printing programs,11
7521,use shorthand,13
7522,process commissioned instructions,21
7523,process incoming construction supplies,11
7524,operate broadcast equipment,5
7525,use aquaculture heavy equipment,3
7526,pharmaceutical technology,1
7527,understand spoken Bengali,18
7528,reinforce body mould,21
7529,inspect mine safety conditions,2
7530,cloud security and compliance,1
7531,manage production of destination promotional materials,16
7532,transport horses,20
7533,road signage standards,0
7534,transport construction supplies,14
7535,install roof flashing,6
7536,install monitors for process control,8
7537,"empower individuals, families and groups",0
7538,behavioural therapy,20
7539,handle sensitive products,11
7540,interpret evoked potentials records,12
7541,assemble manufactured pipeline parts,2
7542,curl hair,3
7543,compile legal documents,8
7544,test production input materials,8
7545,regulate flow of shredded tobacco,15
7546,domestic cooling systems,11
7547,maintain vessel steering mechanisms,14
7548,alcoholic beverage products,22
7549,report misfires,8
7550,follow interpreting quality standards,2
7551,evaluate humanitarian programme proposals,1
7552,manage budgets for social services programs,19
7553,understand spoken Welsh,18
7554,use declaiming techniques,1
7555,prospect new customers,16
7556,liaise with educational staff,3
7557,motion graphics,7
7558,prepare audit activities,8
7559,shear sheep,24
7560,online analytical processing,2
7561,inspect wave energy converters,17
7562,tape drywall,0
7563,operate pulper,11
7564,train employees in mine safety,2
7565,compare shipment contents with waybill,14
7566,procurement lifecycle,6
7567,rhetoric,5
7568,analyse goal progress,13
7569,adapt to new design materials,2
7570,Xcode,2
7571,determine charges for customer services,16
7572,operate table saw,24
7573,operate tunnel finisher machine,6
7574,restore antique clocks,6
7575,recognise signs of corrosion,24
7576,preserve original text,18
7577,food labels,13
7578,blood product storage conditions,4
7579,organism taxonomy,4
7580,monitor customer safety on apron,8
7581,drive waste collection vehicle,10
7582,furniture industry,2
7583,schedule fishing,3
7584,check official documents,8
7585,negotiate exploitation rights,16
7586,coating machine parts,11
7587,lay pipe installation,2
7588,provide care for horses,20
7589,conduct routine blood testing,4
7590,assemble instrumentation equipment,7
7591,handle bar equipment,13
7592,maintain plans of a mining site,2
7593,advise contractors,16
7594,machinery load capacity,6
7595,develop software prototype,7
7596,ensure safe arrival of trains,14
7597,manage purchasing cycle,16
7598,assign taxi fares,14
7599,install image equipment,13
7600,build helping relationship with social service users,5
7601,understand written Croatian,18
7602,lead technology development of an organisation,2
7603,insurance market,14
7604,OpenEdge Database,3
7605,develop online sales business plan,16
7606,advise on medical products,6
7607,online moderation techniques,5
7608,pave asphalt layers,11
7609,create insurance policies,14
7610,build team spirit,3
7611,theory of art therapy,7
7612,measure ship tonnage,3
7613,minimise occupational hazards in dentistry practice,20
7614,interact verbally in Montenegrin,18
7615,well testing operations,2
7616,secure parquet boards,11
7617,apply horticultural standards and practices,10
7618,implement corporate governance,13
7619,heed the altering anodising properties,3
7620,protect surfaces during construction work,3
7621,load animals for transportation,0
7622,develop social security programmes,5
7623,manage groups outdoors,1
7624,create special effects,7
7625,energy performance of buildings,17
7626,develop travel charter programme,3
7627,dispose of non-hazardous waste,10
7628,perform radiation treatments,20
7629,gather experimental data,2
7630,assess visual impact of displays,7
7631,ensure aircraft compliance with regulation,14
7632,monitor the effects of medication,4
7633,differentiate honey depending on the origin,9
7634,teach boating principles,3
7635,plan nursing care,12
7636,plan youth programmes,1
7637,ML (computer programming),2
7638,understand rigging work orders,6
7639,operate distillation equipment,9
7640,split bricks,7
7641,colour grade images with digital intermediate,5
7642,publishing industry,4
7643,produce violin bows,23
7644,remove sediment from varnish,24
7645,operate vacuum dewatering system,21
7646,inspect wearing apparel products,16
7647,maintain emergency vehicle equipment,0
7648,improve translated texts,18
7649,manage mining plant equipment,17
7650,manage internal process of a sport organisation,0
7651,work on the effects of abuse,20
7652,precision measuring instruments,6
7653,principles of mechanical engineering,17
7654,negotiate price for antiques,16
7655,consult with sound editor,23
7656,protect surrounding area during chimney sweeping process,2
7657,provide instruction in orthodontic procedures,20
7658,use séance tools,9
7659,set up the coffee area,15
7660,produce statistical financial records,19
7661,work in a multicultural environment in fishery,3
7662,adjust liquefaction temperature,21
7663,compile statistical data for insurance purposes,2
7664,printing techniques,11
7665,create wigs,3
7666,debt systems,8
7667,manual cutting processes for leather,24
7668,tend textile washing machines,6
7669,understand written Chinese,18
7670,design circuit boards,6
7671,mitigate environmental impact of pipeline projects,2
7672,soldering techniques,9
7673,malt grains,9
7674,determine maintenance schedules for airport equipment,1
7675,set up water filtration system,1
7676,drive concrete piles,2
7677,model power electronics,17
7678,citizen involvement in healthcare,12
7679,manage open publications,4
7680,draw up professional texts,2
7681,provide advice on trademarks,13
7682,control food safety regulations,15
7683,maintain records of work with service users,8
7684,use shaping machinery,7
7685,operate paper folding machine,11
7686,relate empathetically,3
7687,draw up choreography,23
7688,advise customers on usage of cosmetics,16
7689,thread rolling machine parts,6
7690,pump products,6
7691,physiology of animals,5
7692,cultural projects,18
7693,tend ball mill,6
7694,develop efficiency plans for maritime shipping,14
7695,guide others,3
7696,use ICT peripherals,5
7697,sulphur recovery processes,9
7698,maintain microelectronics,9
7699,assess breaches of licence agreements,8
7700,provide health psychological diagnosis,3
7701,drive vehicles in processions,14
7702,gas consumption,17
7703,design application interfaces,2
7704,research your target community,13
7705,inform tourist groups on logistical times,19
7706,report to the team leader,8
7707,ensure legal gaming,5
7708,"heating, ventilation, air conditioning and refrigeration parts",21
7709,customer service,16
7710,create a product's virtual model,13
7711,organise mail deliveries,14
7712,operate a ceramics kiln,24
7713,promote human rights implementation,5
7714,prepare personal work environment,3
7715,dispose of dead animals,10
7716,communicate in healthcare,12
7717,maintain hydraulic forging press,22
7718,select tactics for a football match,0
7719,oversee all travel arrangements,3
7720,maintain storage facilities,19
7721,apply change management,19
7722,CADD software,2
7723,advise on art handling,7
7724,explain features in accommodation venue,19
7725,revise certifications for dangerous good transportation,0
7726,prepare planting area,10
7727,form operational strategies for law enforcement,5
7728,perform weed control operations,10
7729,blockchain applications security principles,17
7730,plot show control cues,7
7731,manage art facilities staff,7
7732,create sculptures,7
7733,knowledge base,3
7734,assess suitability of metal types for specific application,24
7735,tend riveting machine,6
7736,similitude,7
7737,operate cremation equipment,18
7738,operate separators for flour,6
7739,use painting techniques,7
7740,organise fire station,2
7741,display spirits,18
7742,apply grammar and spelling rules,13
7743,perform contract compliance audits,8
7744,lottery equipment,5
7745,address side effects of menopause,13
7746,personal development,3
7747,natural gas liquids recovery processes,9
7748,devise military tactics,5
7749,Prince2 project management,13
7750,operate patients with thoracic diseases,12
7751,energy sector policies,17
7752,repair hearing aids,23
7753,analyse irregular migration,3
7754,monitor chipper machine,8
7755,soil mechanics,10
7756,critique other writers,5
7757,manage recirculation systems,2
7758,support social service users with specific communication needs,5
7759,set quality assurance objectives,2
7760,analgesics,12
7761,create craft prototypes,7
7762,chase threaded hole,2
7763,grade lumber,6
7764,perform comprehensive eye examinations,7
7765,think innovatively,3
7766,sell audiovisual equipment,23
7767,Sardinian,18
7768,create 3D texture map,7
7769,develop educational materials on music therapy,23
7770,present legal arguments,5
7771,lead a team,3
7772,plan space satellite missions,4
7773,inspect aircraft,2
7774,provide information on the effects of childbirth on sexuality,21
7775,apply basic programming skills,2
7776,European integration,3
7777,plan aquaculture cage mooring system,19
7778,match coffee grind to coffee type,15
7779,design drainage well systems,2
7780,operate carpet centrifugal machine,16
7781,manage fuelling system,17
7782,write scientific publications,4
7783,support colleagues,12
7784,remote sensing techniques,7
7785,transfer glaze,24
7786,wind sliver strands,21
7787,write charity grant proposals,1
7788,reinsurance,14
7789,evolution in delivery practices in practiced dance tradition,23
7790,inspect animal carcasses,0
7791,examine trusts,19
7792,interact verbally in Limburgish,13
7793,emergent technologies,9
7794,assess social work students,5
7795,respect the diversity of cultural values and norms,18
7796,parts of metal rolling mill,6
7797,habitat restoration,8
7798,discuss artwork,7
7799,plan engineering activities,2
7800,operate amusement rides,19
7801,work in a water transport team,1
7802,use IT tools,9
7803,advise customers on jewellery and watches,24
7804,work in a fishery team,3
7805,perform aircraft maintenance,14
7806,write Kazakh,18
7807,monitor patients' medication,4
7808,maintain up-to-date aeronautical information management services,14
7809,apply rubber sealant,11
7810,public law,20
7811,perform trellis repairs,6
7812,take referrals for genetic testing,8
7813,numerical sequences,2
7814,quality criteria for livestock feed production,10
7815,sightseeing information,19
7816,monitor maritime operations,3
7817,administer chemicals to starch production,9
7818,gambling games,5
7819,pathologies treated by acupuncture,12
7820,travel bookings processes,0
7821,create database diagrams,4
7822,maintain ropes,11
7823,documentation types,8
7824,interact verbally in Azerbaijani,18
7825,communicable diseases,12
7826,monitor machine operations,8
7827,inspect cables,6
7828,instruct others,3
7829,develop script bible,22
7830,consult on beer presentation,22
7831,types of waterways,1
7832,monitor operations of cleaning machines,11
7833,teach languages,18
7834,perform services in a flexible manner,16
7835,demonstrate good manners,5
7836,write stress-strain analysis reports,22
7837,carry out cleaning of road drains,2
7838,supervise site maintenance,1
7839,recommend hearing aids,23
7840,monitor patients during transfer to hospital,4
7841,draw up artistic programming policy,7
7842,starch production processes,9
7843,maintain dental instruments,20
7844,evaluate social work program's impact,5
7845,tend drop forging hammer,2
7846,assess cage water quality,1
7847,make artistic processes explicit,7
7848,raise hens,0
7849,identify condensation problems,3
7850,wash the dishes,16
7851,read gas meter,6
7852,reduce dots,13
7853,rear food fish,3
7854,clinical social work,5
7855,photogrammetry,7
7856,security panels,1
7857,analyse stress resistance of materials,22
7858,promote yourself,3
7859,make diplomatic decisions,13
7860,Occitan,18
7861,replace tyres,20
7862,keep an open mind,2
7863,curate artwork for exhibitions,19
7864,design space for religious needs,18
7865,sustainable building materials,10
7866,bond rubber plies,24
7867,film production process,7
7868,plant harvest methods,8
7869,company policies,1
7870,epigraphy,8
7871,process flower bulbs,3
7872,drug interaction management,1
7873,perform veterinary diagnosis,0
7874,e-tailoring,3
7875,write French,18
7876,environmental enrichment for animals,8
7877,perform demarcation,3
7878,move soil,10
7879,animal behaviour,0
7880,report the results of treatment,8
7881,assemble measuring equipment,6
7882,implement efficiency plans for logistics operations,14
7883,design materials for multimedia campaigns,7
7884,make decisions regarding forestry management,6
7885,use power tools,9
7886,insert core structures,9
7887,perform field research,13
7888,plan self-organisation,3
7889,supervise religious organisations,18
7890,perform small vessel safety measures,3
7891,perfume and cosmetic products,3
7892,promote ocular health,7
7893,broadcast equipment,5
7894,prepared animal feeds,10
7895,design a mini wind power system,21
7896,taste wines,22
7897,put up signs,1
7898,translate strategy into operation,19
7899,match actors to roles,23
7900,set production facilities standards,6
7901,test mine equipment,2
7902,cope with challenging circumstances in the veterinary sector,0
7903,use riverspeak to communicate,17
7904,organise storage facilities,19
7905,evidence-based nursing care,12
7906,airport operating environment,14
7907,fossil fuels,17
7908,plan musical performances,23
7909,manage difficult clients,16
7910,maintain working relationships,2
7911,establish vertical gardens,10
7912,observe healthcare users,12
7913,pack timber products,6
7914,development delays,13
7915,coach young people,23
7916,advise on merchandise features,16
7917,chemical processes,1
7918,assess carriers,5
7919,types of pottery material,24
7920,collect licence fees,8
7921,mark stone workpieces,24
7922,human resources department processes,3
7923,process qualitative information,1
7924,advise on timber harvest,6
7925,analyse network configuration and performance,2
7926,types of moulded fibres,2
7927,plan logging operations,8
7928,set up animation elements,7
7929,agree on repair arrangements,6
7930,understand written Azerbaijani,18
7931,supervise employees in food production plants,10
7932,operate ship equipment,3
7933,provide training on quality management supervision,3
7934,assemble cameras,7
7935,apply for external funding for physical activity,0
7936,install locks,2
7937,pharmaceutical chemistry,1
7938,stay up-to-date with vehicle trends,14
7939,defibrillation,12
7940,operate shotcreter,7
7941,identify problems,3
7942,health psychology,3
7943,perform virtual simulation ,13
7944,use different communication channels,5
7945,manage supplies,19
7946,create scenery display,7
7947,manage participants' expectations in arts,23
7948,tend to guests with special needs,1
7949,use resource-efficient technologies in hospitality,19
7950,ensure funding for artistic project,1
7951,understand written Bosnian,18
7952,ensure correct signalling during rail maintenance,14
7953,clinical perfusion,4
7954,ensure vehicle operability,14
7955,conduct beamhouse operations,1
7956,work with respect for own safety,0
7957,metal joining technologies,24
7958,train staff in safety procedures,14
7959,prescribe healthcare products,12
7960,investigate maritime accidents,3
7961,monitor proper product handling,11
7962,organise costume fittings,16
7963,plan food plant production activities,10
7964,select artwork developed by staff members,7
7965,advise on medical records,12
7966,teach geography,3
7967,manage vessel fleet,14
7968,work independently on exhibitions,19
7969,breed snails,0
7970,manage fundraising activities,1
7971,create documented procedures,1
7972,maintain power plant machinery,17
7973,arrange rental car drop-off,8
7974,communicate regulations,14
7975,develop test procedures,8
7976,perform quality audits,8
7977,operate offset printing machine,11
7978,publish research in open access,3
7979,set up extrusion head,7
7980,load picked fruits and vegetables,22
7981,prevent technical problems of musical instruments,23
7982,apply colouring recipes ,16
7983,ICT capacity planning strategies,5
7984,read care labels,13
7985,bind books,4
7986,mobility as a service,3
7987,dermapathology,3
7988,maintain ride parts inventory,19
7989,ensure compliance with waste legislative regulations,14
7990,advise on fertiliser and herbicide,10
7991,map out customer requirements into pragmatic actions,3
7992,hydrography,1
7993,operate scrap vibratory feeder,10
7994,COBOL,13
7995,monitor fish mortality rates,3
7996,ensure sanitation,11
7997,develop new imaging techniques,7
7998,grade candles,16
7999,manage the use of additives in food manufacturing,9
8000,tend bottle-washing machine,6
8001,use intense pulsed light technology,16
8002,design training programmes for animals,7
8003,safeguard online privacy and identity,14
8004,collect industrial waste,10
8005,plan procurement of meteorological equipment,21
8006,distinguish accessories,11
8007,visit manufacturers,6
8008,special needs education,1
8009,control flow of matter used in oil processing,9
8010,monitor visitor tours,0
8011,conduct leather finishing operations,11
8012,ensure diving operations conform with plan,1
8013,types of staining,11
8014,apply safety procedures in laboratory,9
8015,manage the handling of promotional materials,16
8016,diagnostic immunology techniques,4
8017,adapt to artists' creative demands,7
8018,prepare meals for flights,15
8019,maintain game area,5
8020,beverages filtration processes,9
8021,prepare timelines for pipeline development projects,2
8022,create natural science taxonomies,4
8023,draw conclusions from market research results,4
8024,printing on large scale machines,11
8025,perform maintenance on eyewear,7
8026,test circuitry,8
8027,molecular and cellular immunology,5
8028,smart contract,17
8029,train gun dogs,0
8030,international carriage of dangerous goods by road,14
8031,oversee power equipment operation,1
8032,test soil load bearing capacity,8
8033,maintain water storage equipment,1
8034,assist multimedia operator,3
8035,thermal treatment,21
8036,write Belarusian,18
8037,maintain high quality of calls,0
8038,operate railway control panels,14
8039,jell fruits,22
8040,follow airport snow control plan,14
8041,skin animals,0
8042,carsharing,14
8043,minimise shipping cost,14
8044,translate keywords into full texts,13
8045,revise translation works,18
8046,identify forged documents,2
8047,write Macedonian,18
8048,translate artistic concepts to technical designs,2
8049,effects of pesticides in food raw materials,10
8050,bakery ingredients,15
8051,animal positions,0
8052,drive at high speeds,13
8053,remove rust from motor vehicles,24
8054,manage the reception of raw materials for animal feeds,10
8055,schedule mine production,2
8056,use carbon sheets,21
8057,conduct costume research,16
8058,green building standards,10
8059,ecology,8
8060,understand written Occitan,18
8061,conduct gross examination of tissues,4
8062,define prop building methods,13
8063,install insulation material,11
8064,manage packaging development cycle from concept to launch,11
8065,audiovisual equipment,23
8066,arrange pick‐up,24
8067,evaluate employees,1
8068,develop shipping itineraries,14
8069,take measurements of performance space,13
8070,analyse membership,4
8071,promote inclusion,3
8072,digital content creation,5
8073,develop learning curriculum,3
8074,ensure public safety and security,0
8075,assess harvesting impact on wildlife,8
8076,tunnel boring machine console,6
8077,oceanography,1
8078,organise game shoots,7
8079,promote the transfer of knowledge,3
8080,install in-floor and in-wall heating,21
8081,manage ICT virtualisation environments,5
8082,tend agitation machine,6
8083,report on environmental issues,10
8084,types of veneers,20
8085,work with cultural venue specialists,18
8086,project commissioning,13
8087,assist the veterinary surgeon as a scrub nurse,0
8088,perform a feasibility study on solar absorption cooling,1
8089,monitor after sales records,16
8090,wash costumes,16
8091,prevent shoplifting,1
8092,manufacturing of office equipment,9
8093,Welsh,18
8094,"apply knowledge of science, technology and engineering",3
8095,dry dog's coat for further treatment,0
8096,urban sustainability,10
8097,act as a watchstander,0
8098,install plumbing systems,2
8099,petroleum,17
8100,lay underlayment,7
8101,assist missionary work,4
8102,anchor sheet metal,24
8103,promote public transport,14
8104,display library material,8
8105,prompt performers,23
8106,manage revenue,16
8107,theology,4
8108,apply caseload management,5
8109,manage donor database,1
8110,national waterways,1
8111,manage loan administration,8
8112,prepare rubber plies,24
8113,product data management,4
8114,code of Conduct for Responsible Fisheries,3
8115,apply massage oil,12
8116,prepare aquatic animals for harvesting,8
8117,ensure compliance with aquaculture standards,3
8118,motivate in sports,13
8119,personnel planning in emergency response,0
8120,tend cold rolling mill,6
8121,apply vessel engine regulations,3
8122,diagnose gynaecological disorders,13
8123,industrial design,9
8124,work with advertising professionals,13
8125,prepare sites for planting of grass,10
8126,blast surface,13
8127,calculate allowances for shrinkage in casting processes,21
8128,use CAD for heels,2
8129,handle fish harvesting waste,8
8130,assign homework,3
8131,bobath therapy,20
8132,select music for training,23
8133,test electrical equipment,8
8134,write Armenian,18
8135,ICT process quality models,5
8136,differentiate nuance of colours,16
8137,position straightening rolls,6
8138,dispose food waste,10
8139,write Galician,18
8140,position V-belts on covering machine,11
8141,legislation procedure,5
8142,demonstrate professional attitude to clients,16
8143,support ICT system users,5
8144,repair photographic film,7
8145,parking regulations,0
8146,coordinate rail services,14
8147,pellet standards,4
8148,define quality standards,2
8149,tend lathe,6
8150,manage logistics,14
8151,operate optical measuring equipment,7
8152,prevent communicable diseases' outbreaks,12
8153,review drafts,2
8154,select adequate packaging for food products,11
8155,"prepare, load and unload dangerous goods vehicles",14
8156,inspect compliance with hazardous waste regulations,14
8157,apply foreign languages in hospitality,18
8158,integrate principles of training,3
8159,assist cage net changing,0
8160,apply quality standards in social services,4
8161,manage office appliance requirements,17
8162,understand written Kazakh,18
8163,analyse milk control test results,21
8164,perform diagnostic testing for allergies,5
8165,compile course material,2
8166,interact verbally in Hebrew,18
8167,audiology,23
8168,carry out ship-to-shore operations,3
8169,survey sites for pipeline installation,2
8170,analyse text before translation,18
8171,instructional strategies,3
8172,transfer animal embryos,0
8173,administer hydrotherapy,12
8174,operate fish capture equipment,3
8175,vehicle type-approval,14
8176,record license plates of violators,0
8177,advise on trial strategies,20
8178,perform ritual cleaning activities,11
8179,promote products in advertisements,16
8180,advise on homologation procedure,2
8181,instruct animals for therapy purposes,0
8182,set up cameras,7
8183,use weft preparation technologies,9
8184,rail project financing,14
8185,apply clinical physiotherapy skills,12
8186,food dehydration processes,9
8187,classify library materials,8
8188,mark differences in colours,16
8189,install wood hardware,6
8190,assess the course of breast-feeding period,13
8191,monitor patients during clinical tests,4
8192,maintain ship brightwork,3
8193,manage corporate bank accounts,8
8194,search databases,4
8195,carry out project activities,3
8196,tend soap flake machinery,9
8197,tend laser beam welding machine,16
8198,recommend personalised optical products to customers,7
8199,manage the use of vaccines,5
8200,calculate rates per hours,19
8201,recognise indicators of problem betting,5
8202,dig soil mechanically,2
8203,use software for data preservation,19
8204,operate towtruck,14
8205,create landscape designs,7
8206,perform hydrodynamics calculations,9
8207,teach principles of architectural design,3
8208,keep updated on the political landscape,5
8209,leasing characteristics,8
8210,remove predators,2
8211,apply smithing techniques,24
8212,cacao beans varieties,15
8213,assess the care requirements of bovine feet,3
8214,adjust fermentation processes,22
8215,interface with anti-mining lobbyists,2
8216,supervise lighting crew,16
8217,plan aquatic resources feeding regimes,3
8218,chiropody,12
8219,liaise with specialist contractors for well operations,16
8220,perform defensive driving,14
8221,commodities in maritime transportation,3
8222,EU law,3
8223,identify fossils,8
8224,operate an audio mixing console,9
8225,organise staff assessment,1
8226,install pneumatic systems,6
8227,perform account allocation,4
8228,understand written Greek,18
8229,plan vehicle replacement,2
8230,repair overhead power lines,6
8231,knitting machine technology,11
8232,inspect overhead power lines,6
8233,purchase automotive equipment,14
8234,visual flight rules,7
8235,issue official documents,8
8236,counsel patients on improving hearing,23
8237,drive motor vehicle prototypes,7
8238,test computer hardware,8
8239,perform maintenance on fire alarm systems,2
8240,read stowage plans,14
8241,mix wallpaper paste,7
8242,conduct online competitive analysis,16
8243,provide support to authors,4
8244,critically reflect on artistic production processes,7
8245,explain the molecular basis of a disease to patients,5
8246,improve safety of medicines,1
8247,create CAD drawings,2
8248,read zoo reports,0
8249,analyse cultural trends,2
8250,provide immigration advice,5
8251,conduct food tests,15
8252,contribute to practice innovation in health care,13
8253,interpret visual literacy,7
8254,handle product separation in the sugar industry,22
8255,manage key performance indicators of call centres,0
8256,instruct on safety measures,0
8257,general haematology,4
8258,maintain pharmaceutical records,8
8259,make an informed use of the health-care system,12
8260,student financial aid programmes,3
8261,prepare balls of clay,24
8262,applied music therapy,23
8263,analyse the artistic concept based on stage actions,7
8264,read pre-drafted texts,2
8265,negotiate with suppliers for visual material,16
8266,ski,0
8267,develop footwear and leather goods marketing plans,3
8268,report on pest inspections,10
8269,control the production of game meat for human consumption,15
8270,ensure protection of car parking,0
8271,perform musical improvisations in therapy,23
8272,procure mechanical machinery,9
8273,communicate with stakeholders,4
8274,program management,2
8275,maintain prosthetic-orthotic devices,6
8276,Macedonian,18
8277,remove coating,11
8278,job market offers,3
8279,reproductive health,13
8280,green logistics,10
8281,demand excellence from performers,23
8282,gather feedback from employees,5
8283,comply with specifications of aerodrome manual,14
8284,inspect fire equipment,2
8285,characteristics of waste,10
8286,operate garment manufacturing machines,11
8287,decide on loan applications,8
8288,develop food production processes,15
8289,assemble automotive batteries,17
8290,ASP.NET,2
8291,advise on utility consumption,17
8292,teach hospitality principles,3
8293,enforce alcohol drinking laws,1
8294,glass tempering,11
8295,prepare pizza,22
8296,order electronics supplies,16
8297,manage cash flow,8
8298,inventory management rules,19
8299,manage health and safety standards,0
8300,sign income tax returns,8
8301,actuarial science,13
8302,conduct sediment control,2
8303,insert bristles,11
8304,handle data samples,8
8305,interpret illustration needs,7
8306,use manual draughting techniques,21
8307,operate wine pumps,6
8308,chair a meeting,23
8309,lead hiking trips,2
8310,organise supporters,5
8311,discharge of collected waste,10
8312,continuously monitor weather conditions,21
8313,oversee park land use,10
8314,legal terminology,20
8315,integrated pest management,10
8316,use food cutting tools,24
8317,provide emotional support to the bereaved,18
8318,identify opportunities,3
8319,utilise exercise environment,0
8320,apply through-hole technology manually,2
8321,operate lighting equipment,16
8322,research locations for offshore farms,19
8323,operate band saw,24
8324,procure hospitality products,19
8325,manage documentation for dangerous goods,8
8326,electrical discharge,17
8327,remove wax from honeycombs,9
8328,flood remediation equipment,2
8329,take pharmaceutical inventory,1
8330,use packaging equipment,11
8331,cultural practices regarding animal slaughter,0
8332,tend punch press,22
8333,ensure compliance with port regulations,1
8334,interpret data in food manufacturing,15
8335,organise cultural events,19
8336,instruct clients on the usage of office equipment,13
8337,contribute to bilge and ballast operations,6
8338,encourage students to acknowledge their achievements,3
8339,answer incoming calls,0
8340,interact verbally in Javanese,18
8341,landscape architecture,7
8342,assemble jewellery parts,24
8343,hearing loss,23
8344,compare survey computations,2
8345,monitor cigarette stamp machine,15
8346,install septic systems,2
8347,herbicides,10
8348,art collections,7
8349,find written press' issues,22
8350,identify software for warehouse management,6
8351,maintain audiovisual equipment,23
8352,sell footwear and leather goods,3
8353,operate warehouse materials,6
8354,manage quality,2
8355,liaise with geology professionals,19
8356,inspect stone surface,24
8357,apply pre-stitching techniques,7
8358,prevent technical problems with flying equipment,14
8359,consider constraints in maritime shipping,3
8360,maintain braking system,14
8361,perform toys finishing,13
8362,fibre optics,7
8363,interpret mathematical information,2
8364,leather physical testing,11
8365,process order forms with customer's information,16
8366,conservation agriculture,10
8367,create garden areas ,10
8368,seal wires,11
8369,collect oil samples,9
8370,document project progress,13
8371,develop international cooperation strategies,3
8372,electrical household goods market,17
8373,train horses,20
8374,advise supervisors,1
8375,food safety principles,15
8376,microbiology of fresh milk,21
8377,provide emergency supplies,0
8378,estimate fishery status,3
8379,separate nitroglycerin from acids,9
8380,counsel on end-of-life care,20
8381,separate ink,7
8382,manage campsite supplies,19
8383,load cargo onto ships,14
8384,perform a feasibility study on biomass systems,17
8385,develop awareness for your group participants,3
8386,prepare audit schemes for ships,3
8387,manage agritourism activities,13
8388,conserve forests,6
8389,create solutions to problems,3
8390,teach energy principles,3
8391,process refunds,19
8392,analyse customer service surveys,2
8393,forecast catering services,15
8394,MySQL,4
8395,check stability of materials,24
8396,deal with setbacks,11
8397,operate agricultural machinery,9
8398,teach psychology,3
8399,steer vessels,3
8400,maintain rigging equipment,6
8401,LESS,13
8402,handle patient trauma,12
8403,check the health of livestock,10
8404,coordinate cutting room in footwear manufacturing,3
8405,meet expectations of target audience,23
8406,design web-based courses,7
8407,geriatrics,12
8408,e-learning,3
8409,control livestock disease,10
8410,attach protective attachments to timber piles,6
8411,develop scientific theories,13
8412,corrosion types,24
8413,dispose of chemicals,10
8414,medical laboratory technology,9
8415,study roles from scripts,22
8416,check for damaged items,6
8417,perform flight manoeuvres,7
8418,mark designs on metal pieces,2
8419,advise on sporting equipment ,0
8420,apply paper coating,11
8421,food ethics,3
8422,cut resilient flooring materials,16
8423,set up photographic exhibitions,19
8424,juvenile detention,20
8425,disassemble machines,11
8426,cervical screening,4
8427,maintain footwear assembling equipment,3
8428,coordinate coremaking shifts,9
8429,facilitate the healing process related to sexual assault,20
8430,plan fabric manufacturing process,11
8431,advise others,3
8432,understand spoken Bosnian,18
8433,grain-for-beverages milling process,9
8434,address public health issues,15
8435,advise on funeral services,18
8436,prevent crop disorders,10
8437,treat fish diseases,3
8438,food preservation,11
8439,test accuracy of surgical instruments,4
8440,conduct a homeopathic consultation,12
8441,maintain internet protocol configuration,5
8442,adhere to the ALARA principle,7
8443,fill nail holes in wood planks,24
8444,manage heavy equipment,13
8445,manufacturing of children clothing,11
8446,monitor operations in the leather industry,8
8447,psychophysiology,12
8448,create master models,13
8449,recruit animal handlers,0
8450,transfer patients,4
8451,manage media services department,5
8452,manage healthcare users' data,12
8453,compass navigation,0
8454,familiarise yourself with the work to be remounted,3
8455,manage university department,1
8456,breed cattle ,10
8457,assess health services within the community,1
8458,maintain administrative records in the veterinary office,8
8459,oversee warehouse value-added activities,6
8460,carry out pressure washing activities,2
8461,natural areas maintenance,10
8462,metal forming technologies,24
8463,inspire enthusiasm for nature,8
8464,deliver fertiliser,10
8465,provide treatment strategies for challenges to human health,12
8466,apply primer,7
8467,tend knitting machine,6
8468,lead process optimisation,13
8469,food materials,15
8470,maintain plant soil nutrition,10
8471,repair rotating equipment,6
8472,educate on recycling regulations,10
8473,perform tungsten inert gas welding,2
8474,patrol areas,5
8475,evaluate schools of fish,3
8476,define data quality criteria,2
8477,perform therapy sessions,20
8478,identify target markets for designs,4
8479,operate hatchery trays,13
8480,Litmos,13
8481,analyse external factors of companies,4
8482,provide customised building materials,7
8483,dry photographic film,7
8484,Belarusian,18
8485,repair ventilation equipment,11
8486,set up multimedia equipment,13
8487,depurate shellfish,3
8488,financial products,19
8489,aerodynamics,7
8490,counsel patients on fertility treatments,13
8491,install water purity mechanism,1
8492,compare insurance products,14
8493,operate stationary steam engine,21
8494,apply for research funding,1
8495,give theory lessons to pilots,14
8496,maintain logbooks,8
8497,integrate Committee on Safe Seas guidelines into inspections,3
8498,provide protective escort,0
8499,financial engineering,19
8500,prepare regional sweet dishes,22
8501,identify progression of disease,4
8502,negotiate terms with suppliers,16
8503,maintain relationship with customers,4
8504,recycle livestock manure,10
8505,ensure correct use of bakery equipment,15
8506,sketch leather goods,11
